File No,Team 1,Team 1 Runs,Team 1 Wickets,Team 2,Team 2 Runs,Team 2 Wickets,Gender,Season,Date,Series,Competition,Match Number,Venue,City,Neutral Venue,Toss Winner,Toss Decision,Player of Match,Umpire 1,Umpire 2,Reserve Umpire,TV Umpire,Match Referee,Winner,Outcome,Winner Runs,Winner Wickets,Method
1014847.csv,Papua New Guinea,249,6,Kenya,228,10,male,2016,2016/05/30,,"""ICC World Cricket League Championship",24,Amini Park,Port Moresby,,Papua New Guinea,bat,,MD Martell,L Oala,A Kapa,,SR Bernard,Papua New Guinea,,21,,
895809.csv,Australia,308,8,India,309,3,male,2015/16,2016/01/15,India in Australia ODI Series,,2,"""Brisbane Cricket Ground",Brisbane,,India,bat,RG Sharma,RA Kettleborough,MD Martell,SAJ Craig,SD Fry,JJ Crowe,Australia,,,7,
587475.csv,Bangladesh,217,10,West Indies,221,8,male,2012/13,2012/12/08,West Indies in Bangladesh ODI Series,,5,Shere Bangla National Stadium,Mirpur,,Bangladesh,field,Mahmudullah,Enamul Haque,REJ Martinesz,Tanvir Ahmed,Anisur Rahman,AJ Pycroft,Bangladesh,,,2,
913431.csv,Botswana,313,3,Guernsey,162,10,male,2015,2015/09/08,,ICC World Cricket League Division Six,,Ashlyns Road,Frinton-on-Sea,true,Guernsey,bat,MWR Stokes,R Black,J Jensen,HE Kearns,,GF Labrooy,Guernsey,,151,,
636159.csv,Australia,269,7,England,270,4,male,2013/14,2014/01/12,England in Australia ODI Series,,1,Melbourne Cricket Ground,,,England,bat,AJ Finch,SD Fry,REJ Martinesz,JD Ward,HDPK Dharmasena,RS Madugalle,Australia,,,6,
446962.csv,Australia,294,10,England,297,4,male,2010/11,2011/01/16,England in Australia ODI Series,,1,Melbourne Cricket Ground,,,England,bat,SR Watson,BF Bowden,BNJ Oxenford,PR Reiffel,AL Hill,RS Madugalle,Australia,,,6,
1085969.csv,Australia,269,10,South Africa,210,10,female,2017,2017/07/15,,ICC Women's World Cup,25,County Ground,Taunton,true,Australia,bat,EA Perry,CM Brown,L Rusere,Ahsan Raza,,DT Jukes,Australia,,59,,
518966.csv,India,320,4,Sri Lanka,321,3,male,2011/12,2012/02/28,,Commonwealth Bank Series,11,Bellerive Oval,Hobart,true,India,field,V Kohli,Asad Rauf,SJA Taufel,AJ Barrow,SD Fry,BC Broad,India,,,7,
516206.csv,Sri Lanka,191,10,Australia,192,3,male,2011,2011/08/10,Australia in Sri Lanka ODI Series,,1,Pallekele International Cricket Stadium,,,Sri Lanka,bat,MG Johnson,EAR de Silva,AL Hill,REJ Martinesz,Asad Rauf,J Srinath,Australia,,,7,
932851.csv,West Indies,116,10,Australia,117,4,male,2016,2016/06/05,West Indies Tri-Nation Series,,2,Providence Stadium,Guyana,,Australia,field,NM Lyon,GO Brathwaite,NJ Llong,JS Wilson,RK Illingworth,JJ Crowe,Australia,,,6,
1168517.csv,Ireland,254,9,Zimbabwe,258,6,male,2019,2019/07/01,Zimbabwe tour of Netherlands and Ireland 2019,,1,"""Bready Cricket Club",Bready,,Ireland,field,,M Hawthorne,S George,R Black,,JJ Crowe,Ireland,,,4,
1089533.csv,South Africa,156,10,India,160,2,female,2017,2017/05/21,Women's Quadrangular Series (in South Africa),,,Senwes Park,Potchefstroom,,India,field,PG Raut,AT Holdstock,BP Jele,,,D Govindjee,India,,,8,
1085958.csv,India,232,8,Sri Lanka,216,7,female,2017,2017/07/05,,ICC Women's World Cup,14,County Ground,Derby,true,India,bat,DB Sharma,CM Brown,L Rusere,S George,GO Brathwaite,RB Richardson,India,,16,,
291217.csv,Sri Lanka,269,7,England,150,10,male,2007/08,2007/10/01,England in Sri Lanka ODI Series,,1,Rangiri Dambulla International Stadium,,,Sri Lanka,bat,MF Maharoof,EAR de Silva,RE Koertzen,ID Gunawardene,TH Wijewardene,J Srinath,Sri Lanka,,119,,
798373.csv,England,241,7,Australia,152,10,female,2015,"2    2015/07/26 - 2015/07/27
dtype: object",Women's Ashes,"""ICC Women's Championship",3,"""County Ground",Worcester,,England,field,EA Perry,MJ Saggers,AG Wharf,IAF Bevers,SJ O'Shaughnessy,DT Jukes,Australia,,89,,
239913.csv,West Indies,266,8,Zimbabwe,162,10,male,2006,2006/05/14,Zimbabwe in West Indies ODI Series,,7,"""Queen's Park Oval",Trinidad,,West Indies,bat,RR Sarwan,BF Bowden,BR Doctrove,,SA Bucknor,BC Broad,West Indies,,104,,
952191.csv,United Arab Emirates,216,10,Netherlands,210,10,male,2015/16,2016/01/29,,"""ICC World Cricket League Championship",20,Sheikh Zayed Stadium,Abu Dhabi,,United Arab Emirates,field,,CK Nandan,Sarika Prasad,Rabiul Hoque,,DT Jukes,Netherlands,,6,,
422630.csv,Bangladesh,221,9,Zimbabwe,222,9,male,2009/10,2009/11/05,Zimbabwe in Bangladesh ODI Series,,5,Zohur Ahmed Chowdhury Stadium,Chittagong,,Bangladesh,field,Naeem Islam,Aleem Dar,Enamul Haque,Tanvir Ahmed,,RS Madugalle,Bangladesh,,,1,
1059715.csv,Zimbabwe,218,8,West Indies,124,5,male,2016/17,2016/11/25,Zimbabwe Tri-Nation Series,,6,Queens Sports Club,Bulawayo,,Zimbabwe,bat,TS Chisoro,MA Gough,TJ Matibiri,L Rusere,RK Illingworth,J Srinath,Zimbabwe,,5,,D/L
579755.csv,Samoa,271,7,Norway,137,10,male,2012,2012/09/22,,ICC World Cricket League Division Eight,,Faleata Oval No 3,Apia,,Samoa,field,Tafseer Ali,CD Elly,N Morrison,,,SR Bernard,Norway,,134,,
569241.csv,New Zealand,269,10,England,270,2,male,2012/13,2013/02/20,England in New Zealand ODI Series,,2,McLean Park,Napier,,England,field,,CB Gaffaney,RJ Tucker,GAV Baxter,S Ravi,RS Mahanama,England,,,8,
433573.csv,Netherlands,351,5,South Africa,120,10,male,2010/11,2011/03/03,,ICC Cricket World Cup,16,"""Punjab Cricket Association Stadium",Chandigarh,true,Netherlands,field,AB de Villiers,EAR de Silva,RA Kettleborough,AM Saheba,SJA Taufel,JJ Crowe,South Africa,,231,,
225245.csv,England,202,10,Pakistan,46,1,male,2006,2006/08/30,NatWest Series,,1,Sophia Gardens,Cardiff,,Pakistan,field,,BR Doctrove,IJ Gould,PJ Hartley,MR Benson,MJ Procter,,no result,,,
530430.csv,Pakistan,200,10,Sri Lanka,174,10,male,2011/12,2011/11/20,Pakistan v Sri Lanka ODI Series,,4,Sharjah Cricket Stadium,,true,Pakistan,bat,Shahid Afridi,RK Illingworth,Zameer Haider,Ahsan Raza,M Erasmus,AJ Pycroft,Pakistan,,26,,
907393.csv,South Africa,235,6,West Indies,200,8,female,2015/16,2016/02/29,West Indies Women in South Africa ODI Series,"""ICC Women's Championship",3,Buffalo Park,East London,,South Africa,bat,T Chetty,A Paleker,PJ Vosloo,DJ Smith,,S Wadvalla,South Africa,,35,,
587472.csv,Bangladesh,292,6,West Indies,132,10,male,2012/13,2012/12/02,West Indies in Bangladesh ODI Series,,2,Sheikh Abu Naser Stadium,Khulna,,West Indies,field,Anamul Haque,Enamul Haque,REJ Martinesz,Masudur Rahman,Anisur Rahman,AJ Pycroft,Bangladesh,,160,,
464990.csv,Sri Lanka,245,5,West Indies,0,0,male,2010/11,2011/01/31,West Indies in Sri Lanka ODI Series,,1,Sinhalese Sports Club Ground,Colombo,,West Indies,bat,,EAR de Silva,BNJ Oxenford,RD Kottahachchi,TH Wijewardene,AJ Pycroft,,no result,,,
1085961.csv,New Zealand,144,10,Pakistan,147,2,female,2017,2017/07/08,,ICC Women's World Cup,17,County Ground,Taunton,true,Pakistan,bat,HM Rowe,GO Brathwaite,Sharfuddoula,L Rusere,,RB Richardson,New Zealand,,,8,
685735.csv,South Africa,179,10,Pakistan,181,6,male,2013/14,2013/11/30,Pakistan in South Africa ODI Series,,3,SuperSport Park,Centurion,,South Africa,field,VD Philander,CB Gaffaney,S George,JD Cloete,BNJ Oxenford,BC Broad,South Africa,,,4,
317578.csv,Zimbabwe,274,8,West Indies,244,8,male,2007/08,2007/11/30,West Indies in Zimbabwe ODI Series,,1,Harare Sports Club,,,West Indies,field,CJ Chibhabha,KC Barbour,BG Jerling,TJ Tapfumaneyi,ID Robinson,BC Broad,Zimbabwe,,30,,
378753.csv,Bangladesh,205,9,Zimbabwe,167,10,male,2008/09,2009/01/10,,Tri-Nation Tournament in Bangladesh,1,Shere Bangla National Stadium,Mirpur,,Bangladesh,field,E Chigumbura,BR Doctrove,Nadir Shah,Enamul Haque,AFM Akhtaruddin,AG Hurst,Zimbabwe,,38,,
535800.csv,Bangladesh,236,9,Pakistan,234,8,male,2011/12,2012/03/22,,Asia Cup,,Shere Bangla National Stadium,Mirpur,,Bangladesh,field,Shahid Afridi,SJ Davis,IJ Gould,Masudur Rahman,S Ravi,DC Boon,Pakistan,,2,,
535796.csv,Pakistan,188,10,Sri Lanka,189,4,male,2011/12,2012/03/15,,Asia Cup,3,Shere Bangla National Stadium,Mirpur,true,Sri Lanka,bat,Aizaz Cheema,SJ Davis,PR Reiffel,Masudur Rahman,Sharfuddoula,DC Boon,Pakistan,,,6,
722391.csv,England,214,9,India,201,10,female,2014,2014/08/23,India Women in England ODI Series,"""ICC Women's Championship",4,North Marine Road Ground,Scarborough,,India,field,CM Edwards,MR Benson,MJ Saggers,,,DT Jukes,England,,13,,
952189.csv,United Arab Emirates,112,10,Netherlands,114,3,male,2015/16,2016/01/27,,"""ICC World Cricket League Championship",18,Sheikh Zayed Stadium,Abu Dhabi,,Netherlands,field,,CK Nandan,Sarika Prasad,Rabiul Hoque,,DT Jukes,Netherlands,,,7,
628095.csv,Italy,207,10,Oman,208,5,male,2013,2013/05/05,,ICC World Cricket League Division Three,,Somerset Cricket Club,Bermuda,true,Italy,bat,Amir Ali,R Dill,S Taylor,R Austin,,DT Jukes,Oman,,,5,
452146.csv,Zimbabwe,285,5,India,289,4,male,2010,2010/05/28,,Zimbabwe Triangular Series,1,Queens Sports Club,Bulawayo,,India,bat,BRM Taylor,BG Jerling,RB Tiffin,C Phiri,O Chirombe,JJ Crowe,Zimbabwe,,,6,
667649.csv,New Zealand,303,5,India,216,10,male,2013/14,2014/01/31,India in New Zealand ODI Series,,5,Westpac Stadium,Wellington,,India,field,LRPL Taylor,BF Bowden,RJ Tucker,GAV Baxter,DJ Walker,DC Boon,New Zealand,,87,,
656493.csv,Australia,328,7,India,233,10,male,2014/15,2015/03/26,,ICC Cricket World Cup,,Sydney Cricket Ground,,,Australia,bat,SPD Smith,HDPK Dharmasena,RA Kettleborough,RK Illingworth,M Erasmus,RS Madugalle,Australia,,95,,
351691.csv,Australia,301,9,New Zealand,269,10,male,2008/09,2009/02/08,Chappell-Hadlee Trophy,,3,Sydney Cricket Ground,,,New Zealand,field,BJ Haddin,SA Bucknor,SJA Taufel,,RJ Tucker,RS Mahanama,Australia,,32,,
299008.csv,Pakistan,197,10,South Africa,202,4,male,2007/08,2007/10/23,South Africa in Pakistan ODI Series,,3,Iqbal Stadium,Faisalabad,,South Africa,bat,Shahid Afridi,BF Bowden,Zameer Haider,Kaukab Butt,Asad Rauf,AG Hurst,Pakistan,,,6,
455232.csv,Bangladesh,167,10,India,168,4,male,2010,2010/06/16,,Asia Cup,2,Rangiri Dambulla International Stadium,,true,Bangladesh,bat,G Gambhir,BR Doctrove,BNJ Oxenford,SH Sarathkumara,REJ Martinesz,AJ Pycroft,India,,,6,
566924.csv,England,359,3,New Zealand,273,10,male,2013,2013/06/02,NatWest Series,,2,The Rose Bowl,Southampton,,New Zealand,bat,MJ Guptill,RJ Bailey,SJ Davis,RK Illingworth,Aleem Dar,DC Boon,New Zealand,,86,,
667725.csv,England,227,10,India,228,4,male,2014,2014/08/30,India in England ODI Series,,3,Trent Bridge,Nottingham,,India,field,R Ashwin,MA Gough,PR Reiffel,RT Robinson,RJ Bailey,RS Madugalle,India,,,6,
410338.csv,Zimbabwe,320,8,Bangladesh,271,10,male,2009,2009/08/11,Bangladesh in Zimbabwe ODI Series,,2,Queens Sports Club,Bulawayo,,Zimbabwe,field,Shakib Al Hasan,AM Saheba,RB Tiffin,C Phiri,,J Srinath,Bangladesh,,49,,
870731.csv,Bangladesh,307,10,India,228,10,male,2015,2015/06/18,India in Bangladesh ODI Series,,1,Shere Bangla National Stadium,Mirpur,,Bangladesh,bat,Mustafizur Rahman,Enamul Haque,RJ Tucker,Masudur Rahman,Anisur Rahman,AJ Pycroft,Bangladesh,,79,,
690357.csv,Bangladesh,289,6,Sri Lanka,228,10,male,2013/14,2014/02/20,Sri Lanka in Bangladesh ODI Series,,2,Shere Bangla National Stadium,Mirpur,,Sri Lanka,bat,KC Sangakkara,Anisur Rahman,RJ Tucker,Mahfuzur Rahman,Sharfuddoula,DC Boon,Sri Lanka,,61,,
647261.csv,India,383,6,Australia,326,10,male,2013/14,2013/11/02,Australia in India ODI Series,,7,M Chinnaswamy Stadium,Bangalore,,Australia,field,RG Sharma,NJ Llong,S Ravi,R Subramanian,AK Chaudhary,AJ Pycroft,India,,57,,
1033369.csv,Ireland,344,6,New Zealand,154,10,male,2017,2017/05/21,Ireland Tri-Nation Series,,5,Malahide,Dublin,,Ireland,field,TWM Latham,AJ Neill,JS Wilson,R Black,RSA Palliyaguruge,DT Jukes,New Zealand,,190,,
746093.csv,Kuwait,153,10,Maldives,96,10,male,2014,2014/06/10,,Asian Cricket Council Elite League,,Kallang Ground,Singapore,true,Maldives,field,Faizan Ali,A Natarajan,Sarika Prasad,B Manikandan,,BK Mehta,Kuwait,,57,,
401075.csv,West Indies,248,10,Bangladesh,249,7,male,2009,2009/07/31,Bangladesh in West Indies ODI Series,,3,"""Warner Park",St Kitts,,West Indies,bat,Mahmudullah,CR Duncan,AL Hill,CE Mack,NA Malcolm,RS Mahanama,Bangladesh,,,3,
1026847.csv,Hong Kong,269,10,Papua New Guinea,163,10,male,2016/17,2016/11/04,Papua New Guinea in Hong Kong ODI Series,,1,"""Mission Road Ground",Hong Kong,,Hong Kong,bat,Babar Hayat,Sharfuddoula,Tabarak Dar,Z Nizami,,GF Labrooy,Hong Kong,,106,,
1144501.csv,England,212,10,West Indies,213,2,male,2019,2019/06/14,,World Cup,19,The Rose Bowl,Southampton,,England,field,JE Root,HDPK Dharmasena,S Ravi,P Wilson,RJ Tucker,DC Boon,England,,,8,
323950.csv,Bangladesh,173,10,South Africa,179,3,male,2007/08,2008/03/12,South Africa in Bangladesh ODI Series,,2,Shere Bangla National Stadium,Mirpur,,Bangladesh,bat,A Nel,Aleem Dar,Nadir Shah,Enamul Haque,AFM Akhtaruddin,RS Madugalle,South Africa,,,7,
785983.csv,Singapore,225,7,United States of America,167,10,male,2014/15,2014/10/29,,ICC World Cricket League Division Three,,Kinrara Academy Oval,Kuala Lumpur,true,Singapore,bat,AE Paraam,AW Louw,DN Subedi,V Kalidas,,D Govindjee,Singapore,,32,,D/L
426721.csv,New Zealand,303,8,Pakistan,239,10,male,2009/10,2009/11/06,Pakistan v New Zealand ODI Series,,2,Sheikh Zayed Stadium,Abu Dhabi,true,New Zealand,bat,BB McCullum,BNJ Oxenford,Zameer Haider,Nadeem Ghauri,Asad Rauf,AJ Pycroft,New Zealand,,64,,
710295.csv,Afghanistan,248,8,Pakistan,176,10,male,2013/14,2014/02/27,,Asia Cup,3,Khan Shaheb Osman Ali Stadium,Fatullah,true,Afghanistan,field,Umar Akmal,BF Bowden,JD Cloete,Masudur Rahman,CK Nandan,BC Broad,Pakistan,,72,,
913627.csv,England,248,9,Sri Lanka,16,1,male,2016,2016/06/26,Sri Lanka in England ODI Series,,3,County Ground,Bristol,,England,field,,PR Reiffel,RT Robinson,RJ Bailey,BNJ Oxenford,DC Boon,,no result,,,
736517.csv,Hong Kong,181,10,Nepal,147,3,male,2014,2014/05/05,,Asian Cricket Council Premier League,11,Bayuemas Oval,Kuala Lumpur,true,Nepal,field,Irfan Ahmed,V Kalidas,B Ramani,Shafizan Shahriman,,Ramesh Menon,Nepal,,,7,D/L
931392.csv,Bangladesh,241,9,Zimbabwe,183,10,male,2015/16,2015/11/09,Zimbabwe in Bangladesh ODI Series,,2,Shere Bangla National Stadium,Mirpur,,Zimbabwe,field,Imrul Kayes,Aleem Dar,Enamul Haque,Sharfuddoula,Anisur Rahman,J Srinath,Bangladesh,,58,,
366627.csv,New Zealand,392,5,India,334,10,male,2008/09,2009/03/08,India in New Zealand ODI Series,,3,AMI Stadium,Christchurch,,New Zealand,field,SR Tendulkar,GAV Baxter,RE Koertzen,DM Quested,EA Watkin,RS Madugalle,India,,58,,
486526.csv,Bangladesh,188,6,Zimbabwe,189,4,male,2010/11,2010/12/12,Zimbabwe in Bangladesh ODI Series,,5,Zahur Ahmed Chowdhury Stadium,Chittagong,,Zimbabwe,bat,Tamim Iqbal,EAR de Silva,Nadir Shah,Anisur Rahman,Enamul Haque,BC Broad,Bangladesh,,,6,
415279.csv,New Zealand,315,7,Sri Lanka,277,10,male,2009/10,2009/09/27,,ICC Champions Trophy,7,New Wanderers Stadium,Johannesburg,true,Sri Lanka,field,DL Vettori,IJ Gould,DJ Harper,SJA Taufel,Aleem Dar,J Srinath,New Zealand,,38,,
1022375.csv,India,338,4,Pakistan,158,10,male,2017,2017/06/18,,ICC Champions Trophy,,Kennington Oval,London,true,India,field,Fakhar Zaman,M Erasmus,RA Kettleborough,HDPK Dharmasena,RJ Tucker,DC Boon,Pakistan,,180,,
812795.csv,Namibia,142,10,Nepal,146,7,male,2014/15,2015/01/21,,ICC World Cricket League Division Two,,United Cricket Club Ground,Windhoek,,Nepal,field,P Khadka,AK Chaudhary,RT Robinson,C Thorburn,,D Govindjee,Nepal,,,3,
868727.csv,Pakistan,375,3,Zimbabwe,334,5,male,2015,2015/05/26,Zimbabwe in Pakistan ODI Series,,1,Gaddafi Stadium,Lahore,,Pakistan,bat,Shoaib Malik,Aleem Dar,RB Tiffin,Shozab Raza,Ahmed Shahab,Azhar Khan,Pakistan,,41,,
722389.csv,England,193,8,India,153,3,female,2014,2014/08/21,India Women in England ODI Series,"""ICC Women's Championship",1,North Marine Road Ground,Scarborough,,England,field,HC Knight,JH Evans,SJ O'Shaughnessy,,,DT Jukes,England,,42,,D/L
319146.csv,West Indies,282,8,Australia,281,6,male,2008,2008/07/04,Australia in West Indies ODI Series,,4,"""Warner Park",St Kitts,,West Indies,field,A Symonds,Asad Rauf,SA Bucknor,CE Mack,NA Malcolm,RS Mahanama,Australia,,1,,
1073422.csv,Sri Lanka,212,7,Pakistan,216,5,female,2016/17,2017/02/15,,ICC Women's World Cup Qualifier,22,Nondescripts Cricket Club Ground,Colombo,,Sri Lanka,field,LE Kaushalya,AK Chaudhary,S Redfern,M Hawthorne,,,Sri Lanka,,,5,
520601.csv,New Zealand,230,10,South Africa,231,4,male,2011/12,2012/02/29,South Africa in New Zealand ODI Series,,2,McLean Park,Napier,,South Africa,field,M Morkel,Aleem Dar,GAV Baxter,CB Gaffaney,RK Illingworth,RS Mahanama,South Africa,,,6,
742621.csv,New Zealand,252,10,Pakistan,255,6,male,2014/15,2014/12/12,Pakistan v New Zealand ODI Series,,2,Sharjah Cricket Stadium,,true,Pakistan,bat,KS Williamson,Ahsan Raza,RK Illingworth,Shozab Raza,JS Wilson,RS Mahanama,New Zealand,,,4,
754789.csv,Australia,189,8,Pakistan,190,2,female,2014,2014/08/26,Pakistan Women in Australia ODI Series,"""ICC Women's Championship",5,Peter Burge Oval,Brisbane,,Pakistan,bat,NE Bolton,GC Joshua,SJ Nogajski,GA Abood,,SR Bernard,Australia,,,8,
1073428.csv,Sri Lanka,197,9,Bangladesh,68,5,female,2016/17,2017/02/19,,ICC Women's World Cup Qualifier,28,Nondescripts Cricket Club Ground,Colombo,,Bangladesh,field,AC Jayangani,M Hawthorne,JM Williams,AK Chaudhary,,,Sri Lanka,,42,,D/L
564784.csv,Sri Lanka,251,8,India,255,4,male,2012,2012/07/31,India in Sri Lanka ODI Series,,4,R Premadasa Stadium,Colombo,,Sri Lanka,bat,V Kohli,HDPK Dharmasena,BNJ Oxenford,RR Wimalasiri,TH Wijewardene,BC Broad,India,,,6,
464720.csv,Ireland,125,10,Netherlands,129,1,male,2010,2010/08/18,Netherlands in Ireland ODI Series,,2,Clontarf Cricket Club Ground,Dublin,,Netherlands,bat,,NG Bagh,JD Cloete,TC Magee,,D Govindjee,Ireland,,,9,
749789.csv,New Zealand,360,5,Sri Lanka,252,10,male,2014/15,2015/01/23,Sri Lanka in New Zealand ODI Series,,5,University Oval,Dunedin,,Sri Lanka,field,"2    GD Elliott, L Ronchi
dtype: object",CB Gaffaney,NJ Llong,DJ Walker,IJ Gould,J Srinath,New Zealand,,108,,
594912.csv,England,266,6,New Zealand,251,9,female,2012/13,2013/02/13,,ICC Women's World Cup,21,Brabourne Stadium,Mumbai,true,England,bat,SJ Taylor,VA Kulkarni,BB Pradhan,Shahul Hameed,Sarika Prasad,DT Jukes,England,,15,,
1085966.csv,South Africa,101,10,Sri Lanka,104,2,female,2017,2017/07/12,,ICC Women's World Cup,22,County Ground,Taunton,true,Sri Lanka,bat,D van Niekerk,GO Brathwaite,K Cross,AK Chaudhary,,DT Jukes,South Africa,,,8,
249234.csv,Australia,110,10,England,111,1,male,2006/07,2007/01/26,,Commonwealth Bank Series,7,Adelaide Oval,,,England,bat,MG Johnson,SJ Davis,IL Howell,SD Fry,DJ Harper,RS Madugalle,Australia,,,9,
521218.csv,India,300,7,England,174,10,male,2011/12,2011/10/14,England in India ODI Series,,1,"""Rajiv Gandhi International Stadium",Hyderabad,,India,bat,MS Dhoni,BF Bowden,SK Tarapore,K Srinath,S Asnani,RS Mahanama,India,,126,,
452150.csv,India,268,9,Sri Lanka,270,4,male,2010,2010/06/05,,Zimbabwe Triangular Series,5,Harare Sports Club,,true,Sri Lanka,field,LD Chandimal,RE Koertzen,RB Tiffin,TJ Tapfumaneyi,,JJ Crowe,Sri Lanka,,,6,
1062504.csv,United States of America,163,10,Oman,165,2,male,2016/17,2016/11/01,,ICC World Cricket League Division Four,,"""Wright Cricket Field",Los Angeles,,United States of America,field,Steven Ryan Taylor,Iftikhar Ali,JM Williams,GO Brathwaite,,D Govindjee,United States of America,,,8,
628090.csv,Bermuda,284,10,Italy,224,10,male,2013,2013/05/02,,ICC World Cricket League Division Three,,Somerset Cricket Club,Bermuda,,Bermuda,bat,LOB Cann,V Kalidas,S Taylor,K Gibbons,,DT Jukes,Bermuda,,60,,
1034819.csv,India,350,7,England,356,7,male,2016/17,2017/01/15,England in India ODI Series,,1,Maharashtra Cricket Association Stadium,Pune,,India,field,KM Jadhav,HDPK Dharmasena,CK Nandan,NN Menon,RSA Palliyaguruge,AJ Pycroft,India,,,3,
1144508.csv,Australia,381,5,Bangladesh,333,8,male,2019,2019/06/20,,World Cup,26,Trent Bridge,Nottingham,,Australia,bat,DA Warner,RA Kettleborough,MA Gough,Aleem Dar,RK Illingworth,JJ Crowe,Australia,,48,,
247493.csv,West Indies,356,4,South Africa,289,9,male,2006/07,2007/04/10,,ICC World Cup,37,"""National Cricket Stadium",Grenada,,West Indies,field,AB de Villiers,MR Benson,DJ Harper,Asad Rauf,Aleem Dar,BC Broad,South Africa,,67,,
516207.csv,Sri Lanka,208,10,Australia,211,2,male,2011,2011/08/14,Australia in Sri Lanka ODI Series,,2,"""Mahinda Rajapaksa International Cricket Stadium",Hambantota,,Sri Lanka,bat,RT Ponting,AL Hill,RSA Palliyaguruge,EAR de Silva,Asad Rauf,J Srinath,Australia,,,8,
1022373.csv,Bangladesh,264,7,India,265,1,male,2017,2017/06/15,,ICC Champions Trophy,,Edgbaston,Birmingham,true,India,field,RG Sharma,HDPK Dharmasena,RA Kettleborough,RK Illingworth,NJ Llong,BC Broad,India,,,9,
597923.csv,West Indies,208,10,Sri Lanka,209,4,male,2013,2013/06/28,West Indies Tri-Nation Series,,1,"""Sabina Park",Jamaica,,West Indies,field,CH Gayle,IJ Gould,JS Wilson,PJ Nero,N Duguid,JJ Crowe,West Indies,,,6,
226392.csv,New Zealand,224,9,Sri Lanka,203,10,male,2005/06,2006/01/06,Sri Lanka in New Zealand ODI Series,,3,Westpac Stadium,Wellington,,New Zealand,bat,JS Patel,DB Hair,AL Hill,,EA Watkin,AG Hurst,New Zealand,,21,,
808863.csv,Pakistan,138,9,Sri Lanka,126,10,female,2014/15,2015/01/11,Pakistan Women v Sri Lanka Women ODI Series,"""ICC Women's Championship",2,Sharjah Cricket Stadium,,true,Pakistan,bat,Sana Mir,Farooq Ali Khan,Rashid Riaz,Akbar Ali,,GF Labrooy,Pakistan,,12,,
518963.csv,India,289,6,Sri Lanka,238,10,male,2011/12,2012/02/21,,Commonwealth Bank Series,8,"""Brisbane Cricket Ground",Brisbane,true,Sri Lanka,bat,KMDN Kulasekara,BF Bowden,PR Reiffel,BNJ Oxenford,SJ Davis,BC Broad,Sri Lanka,,51,,
659549.csv,Zimbabwe,244,7,Pakistan,246,3,male,2013,2013/08/27,Pakistan in Zimbabwe ODI Series,,1,Harare Sports Club,,,Pakistan,bat,H Masakadza,RK Illingworth,RB Tiffin,L Rusere,O Chirombe,JJ Crowe,Zimbabwe,,,7,
860275.csv,Sri Lanka,256,9,Pakistan,257,3,male,2015,2015/07/22,Pakistan in Sri Lanka ODI Series,,4,R Premadasa Stadium,Colombo,,Sri Lanka,bat,Ahmed Shehzad,RJ Tucker,RR Wimalasiri,REJ Martinesz,IJ Gould,J Srinath,Pakistan,,,7,
757509.csv,Sri Lanka,137,10,South Africa,141,5,female,2014/15,2014/10/21,South Africa Women in Sri Lanka ODI Series,,4,Sinhalese Sports Club Ground,Colombo,,South Africa,field,T Chetty,HMNC Dhanasinghe,RD Kottahachchi,LE Hannibal,,GF Labrooy,South Africa,,,5,
351688.csv,Australia,288,6,South Africa,249,10,male,2008/09,2009/01/30,South Africa in Australia ODI Series,,5,Western Australia Cricket Association Ground,Perth,,South Africa,bat,HM Amla,IJ Gould,BNJ Oxenford,AR Craig,PR Reiffel,RS Madugalle,South Africa,,39,,
297797.csv,India,148,10,Australia,149,1,male,2007/08,2007/10/11,Australia in India ODI Series,,5,Reliance Stadium,Vadodara,,India,bat,MG Johnson,Aleem Dar,AM Saheba,SD Ranade,SL Shastri,BC Broad,Australia,,,9,
522247.csv,Zimbabwe,188,10,Bangladesh,191,3,male,2011,2011/08/14,Bangladesh in Zimbabwe ODI Series,,2,Harare Sports Club,,,Zimbabwe,field,BV Vitori,HDPK Dharmasena,RB Tiffin,S Rwaziyeni,O Chirombe,RS Mahanama,Zimbabwe,,,7,
518957.csv,India,233,8,Sri Lanka,234,6,male,2011/12,2012/02/08,,Commonwealth Bank Series,2,Western Australia Cricket Association Ground,Perth,true,Sri Lanka,bat,R Ashwin,NJ Llong,PR Reiffel,IH Lock,BNJ Oxenford,AJ Pycroft,India,,,4,
936165.csv,South Africa,367,5,Sri Lanka,327,10,male,2016/17,2017/02/07,Sri Lanka in South Africa ODI Series,,4,Newlands,Cape Town,,South Africa,bat,F du Plessis,AT Holdstock,RK Illingworth,S George,RA Kettleborough,RB Richardson,South Africa,,40,,
238199.csv,South Africa,246,9,Australia,247,9,male,2005/06,2006/03/10,Australia in South Africa ODI Series,,4,Kingsmead,Durban,,South Africa,bat,HH Dippenaar,KH Hurter,JW Lloyds,,BG Jerling,BC Broad,Australia,,,1,
696731.csv,Canada,341,9,Scotland,171,10,male,2013/14,2014/01/23,,ICC Cricket World Cup Qualifier,18,Hagley Oval,Christchurch,true,Canada,field,CS MacLeod,M Erasmus,PJ Nero,DW Reid,,RS Mahanama,Scotland,,170,,
